Injured,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,TRB,AST,TOV,PTS,MP_total,PER,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,37.7,10,17.6,0.567,8.5,13.6,0.622,5.7,7.6,6.9,6.3,3.5,27.1,2902,29.3,0.226,0.432,3.6,11.5,32,2.2,0.8,31,12.3,3.7,15.9,0.264,7.8,1.1,8.8,7.9
1,37.7,3.9,9.2,0.421,3.9,9.1,0.424,1.8,3.6,12.4,1.7,1.5,9.5,3050,17.3,0.011,0.388,12.5,19.1,7.7,2.6,6.1,15.3,1.1,9.1,10.2,0.16,0.2,3.3,3.5,4.3
1,37.7,9.6,20,0.479,8.8,17.9,0.493,6,6.7,8.4,2.4,1.9,25.9,3050,23.1,0.105,0.337,3.3,12.8,12.1,1,1.5,30.3,7.5,3.4,10.9,0.171,3.7,-0.3,3.4,4.2
1,37.7,9.7,19.9,0.489,8.1,15.2,0.535,7.3,9.4,7.6,7.2,3,28.4,3054,31.7,0.238,0.472,4.3,11.9,38,2.4,2.4,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8
1,37.7,7.1,11.9,0.599,7.1,11.8,0.601,6.5,10.9,14.2,1.3,3.2,20.7,3088,22.9,0.004,0.921,10.9,21.7,6.1,1.2,4.2,24.2,6.4,6.4,12.9,0.2,1.6,1.2,2.8,3.7
1,37.8,9.9,18.2,0.548,8.3,13.5,0.611,4.8,7.2,8.6,8.7,4.1,26.4,2794,27,0.254,0.395,4,12.6,41.3,1.6,1.3,30,9.8,3,12.9,0.221,6.4,1.2,7.6,6.7
1,37.9,9.3,18.9,0.491,8.8,17.3,0.511,8.5,10.5,4.7,7.5,4.2,27.4,1931,28.9,0.082,0.556,3.2,7.3,40.5,3,2.5,34.7,5.9,2.9,8.8,0.219,6.3,1.8,8.2,4.9
1,37.9,8.8,17.8,0.494,7.7,14.5,0.527,4.2,5.6,8.5,5.3,2.7,22.8,2578,20.3,0.181,0.314,5.1,12.2,23,1.6,1.6,25.8,4.9,3.2,8.1,0.151,2.7,0.8,3.5,3.6
1,37.9,10.1,17.8,0.565,8.7,14.5,0.602,5.3,7,8,7.3,3,26.8,2877,31.6,0.188,0.395,4.4,13.1,36.4,2.4,1.9,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9
1,37.9,7.9,17,0.462,6.6,13.2,0.496,4.8,5.5,8.7,2.7,1.8,21.8,2915,22.5,0.221,0.323,3.3,12.5,11.3,1.6,2.6,24.5,9,2.5,11.5,0.19,3.8,0,3.8,4.3
1,38,7.5,16.5,0.456,5.1,9.9,0.515,7.9,9.1,4.7,6.1,3.6,25.4,2777,23.5,0.401,0.552,2.6,6.9,27.3,2.1,0.8,27.8,10.1,2.7,12.8,0.221,5.4,0.2,5.6,5.3
1,38,8.4,18.2,0.458,6.7,13.6,0.488,2.9,3.5,4.6,4.9,1.9,21.3,2886,19.3,0.253,0.194,3,7.1,22,1.5,0.1,26.3,6,2.4,8.4,0.14,3.4,-0.7,2.7,3.4
1,38.1,9.3,19.3,0.48,7.9,16,0.496,6.7,7.4,9,2.8,1.9,26.6,3089,28.1,0.173,0.382,4.6,14.2,14.7,1,2.1,30,13.5,4.3,17.7,0.275,7.8,0.4,8.1,7.9
1,38.1,8.3,16.6,0.502,8.3,16.3,0.507,5.4,6.7,13.5,5.7,2.7,22.2,3121,28.2,0.018,0.404,9.5,20.3,27.1,2.1,2.6,27.1,10.1,6,16.1,0.248,6.5,3,9.5,9.1
1,38.2,10.6,22.4,0.476,10,20.1,0.499,7.1,8.7,6,3.8,3.6,28.9,2486,22.1,0.103,0.391,6.6,8.9,19.2,1.5,0.7,33.4,5.2,2.1,7.3,0.14,3.2,-1.3,1.9,2.5
1,38.2,10,21.8,0.458,9.1,19.1,0.478,7.4,8.9,6.6,3.2,3,28.2,2634,22.2,0.125,0.407,6.7,9.9,15.9,1.7,0.9,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9
1,38.3,7.7,13.4,0.573,7.7,13.3,0.579,5.2,10.6,14.5,1.9,3.2,20.6,2070,24.2,0.01,0.788,11,21.9,9.8,2.1,4.4,26.1,3.3,4.4,7.7,0.179,2.2,2,4.3,3.3
1,38.3,7.5,17.1,0.438,5.2,10.9,0.477,8.6,10.2,4.9,5.8,3.8,25.9,2985,22.9,0.364,0.592,2.4,7.2,25.7,2.4,1,29,9.8,3,12.8,0.206,5.2,0.5,5.6,5.8
1,38.5,9.9,23,0.43,8.4,18.1,0.464,6.6,7.8,5.4,4.6,3.5,27.9,2232,21.9,0.215,0.338,3.5,7.8,23.7,1.6,0.6,35.7,4.2,2,6.2,0.132,4.2,-0.9,3.3,2.9
1,38.5,7.9,15.9,0.496,7.7,15.3,0.501,6.7,8.6,10.7,2.5,2.6,22.6,2658,22.6,0.032,0.539,8.1,16.4,11.7,0.8,2.6,26.7,6.1,3.5,9.6,0.174,2.8,-0.1,2.7,3.1
1,38.5,8.1,16.1,0.503,7.3,13.8,0.525,5.8,6.7,5.5,11,3,22.8,3002,30,0.14,0.418,2.8,8.7,54.5,3.9,0.3,27.5,13.3,5,18.3,0.292,7.2,3.8,11,9.9
1,38.5,9,17.7,0.51,7.3,13.6,0.539,8.4,9.3,7.9,4.6,3.5,28.1,3119,28.3,0.233,0.523,1.8,11.8,21.7,1.9,2.6,29.8,13.6,5.3,18.9,0.291,7.6,1.7,9.3,8.9
1,38.5,10.5,20.8,0.503,8.1,14.8,0.549,8.7,9.9,7.4,5.5,3.5,32,3122,29.8,0.291,0.477,2.2,10.8,26.7,1.7,1.5,33,14.8,4.4,19.2,0.295,8.8,1.4,10.2,9.6
1,38.6,9.7,19.7,0.496,7.7,14.4,0.535,6.5,7.6,8,3.5,3.8,28,2546,26.2,0.265,0.386,1.9,11.8,17.5,1.8,2.2,31.3,8.5,3.7,12.2,0.23,6.2,0.8,7,5.8
1,38.6,9.3,18.8,0.495,9.1,17.8,0.513,8.4,10.7,5.7,6.7,3.6,27.2,45,-2.8,0,0.25,5.5,13.1,0,0,0,23.4,-0.2,0,-0.2,-0.167,-13.4,-4.3,-17.7,-0.2
1,38.6,8.2,17.1,0.478,8,16.5,0.485,7.5,9.9,5.2,6.8,4.2,24.1,57,8.2,0,0.438,9.9,12.2,16.6,2.6,2.3,20,-0.1,0.1,0,-0.021,-4.5,2.4,-2.1,0
1,38.6,9.5,20.4,0.463,7.8,15.2,0.51,6.7,8,5.6,6,3.7,27.3,3013,23,0.255,0.392,2.5,7.9,29.7,1.8,0.6,31.9,8.4,2.6,10.9,0.174,4.7,-0.1,4.6,5
1,38.6,10.8,22,0.491,9.7,18.5,0.524,7.5,9.8,5,7.5,3.4,30.2,3048,30.4,0.16,0.443,3.5,7.8,40.3,3,2.8,36.2,10.3,4.4,14.7,0.232,8.2,2.4,10.6,9.6
1,38.7,8.5,18.5,0.459,7.3,15.6,0.47,7.9,9.1,9.7,3.1,2.3,26.1,3020,26.1,0.158,0.49,3.6,14,14.3,1.7,2.9,28.7,10.3,5.2,15.6,0.248,5.8,1.5,7.3,7.1
1,38.8,9.8,21.5,0.456,8.5,17.4,0.487,6,7.4,5.4,5,3.2,27,2835,21.9,0.192,0.345,3.1,7.7,23.8,2.1,0.5,32.3,5.4,4,9.4,0.16,3.9,0.2,4.1,4.4
1,38.8,9.6,18.8,0.51,8.4,15.3,0.552,6.4,8.4,7.5,7,3.6,26.7,3063,27.3,0.188,0.446,3.3,11.4,34.9,2.1,1.3,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8
1,38.8,7.6,15.9,0.476,6.2,11.7,0.526,2.8,3.4,11.3,1.9,1.5,19.4,3146,21.7,0.265,0.213,8.4,15.5,7.5,2.6,2.5,21.3,7.3,5.2,12.5,0.191,3.1,1.3,4.4,5.1
1,38.9,9.1,19.7,0.462,7.3,14.4,0.504,7.6,8.7,6.8,2.7,2.8,27.7,3038,23.6,0.269,0.439,2.3,10.3,13.2,1.5,1.8,30.6,8.6,3.3,12,0.189,5.2,-0.3,4.9,5.3
1,38.9,9.5,20.6,0.459,7.6,15.5,0.49,7.6,9,6.3,5.4,3.1,28.3,3192,24.2,0.246,0.439,3.4,9,23.9,2.4,0.9,31.4,9.5,4.3,13.8,0.208,5.2,0.6,5.8,6.3
1,39,8.6,19.3,0.448,6.7,14.1,0.475,6.9,8.4,13.3,2,2.3,26,2145,25.4,0.266,0.434,11.6,19,10,1.1,0.9,28.8,7.6,2.3,10,0.223,6.1,-0.9,5.2,3.9
1,39,10.1,20.1,0.503,8.4,15,0.56,7.8,10.2,7.3,8.6,3.4,29.7,2966,31.1,0.253,0.506,3,11.1,41.8,2.2,2,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3
1,39.2,9.6,18.2,0.527,9.6,18.1,0.527,5.6,7.2,10,2.6,2.2,24.7,3099,26.5,0.002,0.396,9.3,14.8,13.1,1.4,4.9,27.7,9.3,5.5,14.8,0.229,5.1,1.6,6.7,6.8
1,39.3,8.2,19.2,0.428,5.5,12,0.459,4.8,5.5,4.4,3.7,2.2,23.9,3064,20.9,0.372,0.286,3.2,6.9,18.1,1.5,0.1,28,9.7,1,10.7,0.168,5.3,-1.2,4.1,4.8
1,39.4,8.4,17.6,0.476,8.2,16.9,0.487,5.5,6.6,12.8,4.1,2.7,22.4,271,4.4,0,1.056,14.4,13.1,2.9,1.1,2.3,6.2,-0.1,0.1,0,0.002,-4.6,-1.2,-5.9,-0.3
1,39.4,9.8,19.6,0.499,9.7,19.1,0.506,4.5,5.7,13.9,5,2.6,24.2,3231,29.4,0.027,0.289,9.1,20.1,24.4,2,4,29.6,10.4,8,18.3,0.272,6.8,3.3,10.2,10
1,39.5,9.7,20.3,0.476,8.1,16.1,0.506,9.2,10.2,7.6,2.8,3.3,30.1,3239,26.2,0.21,0.504,3.8,11,13.5,1.8,1.9,32,11.1,5,16.1,0.238,6.3,0.8,7.1,7.5
1,39.6,8.7,17.5,0.5,8.7,17.2,0.505,4.3,5.5,8.8,2.1,1.9,21.8,3211,21.5,0.016,0.314,10.1,13.5,10.1,1.4,2.4,25.7,7.6,3.5,11.1,0.166,2.6,-0.5,2.1,3.4
